Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Болт М16-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;11.76938776;0.0;11.76938776;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Болт М12-6gх50.8.8.Гл ГОСТ Р ИСО 4014-2013;0.41938776;0.0;0.41938776;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Наконечник медный ТМ 6-6-4 УХЛ;10.0;0.0;10.0;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Болт М20-6gх220.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.07299279000000025;0.0;0.07299279000000025;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Гайка М12-6h.8.ГЦ ГОСТ ISO 4032-2014;0.0019114299999999917;0.0;0.0019114299999999917;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Болт М20-6gх80.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.12663233999999957;0.0;0.12663233999999957;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Шайба 24 ГЦ ГОСТ 11371-78;0.046352210000000005;0.0;0.046352210000000005;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Шайба 20 ГЦ ГОСТ 11371-78;0.049219360000000156;0.0;0.049219360000000156;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Шайба 12 ГЦ ГОСТ 11371-78;0.0015530400000000055;0.0;0.0015530400000000055;0.0;0.0;0.0
2020-05-07;02677-1;АМК ЭНЕРГО ООО;21/03-20 от 27.03.2020, Спецификация №1 от 27.03.2020;Гайка М24-6h.8.ГЦ ГОСТ ISO 4032-2014;0.08816478000000005;0.08816478000000005;0.0;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Болт М30-6gх140.8.8.Гл ГОСТ Р ИСО 4014-2013;2.10298661;0.0;2.10298661;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Кабель силовой ВВГнг(А)-LS 5х2,5;20.0;20.0;0.0;0.0;0.0;0.0
2020-05-07;02548-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Табличка 63х80 12Х18Н10Т;0.48;0.48;0.0;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Хомут по чертежу 551 М16.09Г2С-15.ГЦ ОЭМЗ.АМС55.097.00.00.000;13.6;13.6;0.0;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Муфта трубная МТ20;12.0;0.0;12.0;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 8 Гл ГОСТ 11371-78;0.16683831;0.0;0.16683831;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 6 Гл ГОСТ 11371-78;0.01338826;0.0;0.01338826;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 30 Гл ГОСТ 11371-78;0.22142122;0.0;0.22142122;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 24 Гл ГОСТ 11371-78;26.96189495;0.0;26.96189495;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 20 Гл ГОСТ 11371-78;6.39752832;0.0;6.39752832;0.0;0.0;0.0
2020-05-07;921673-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Шайба 16 Гл ГОСТ 11371-78;12.61585994;0.0;12.61585994;0.0;0.0;0.0
