Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;17.0
Дата запуска;2020-04-15 00:00:00;2020-04-16 00:00:00;2020-04-17 00:00:00;2020-04-18 00:00:00;2020-04-19 00:00:00;2020-04-20 00:00:00;2020-04-21 00:00:00;2020-04-22 00:00:00;2020-04-23 00:00:00;2020-04-24 00:00:00;2020-04-25 00:00:00;2020-04-26 00:00:00;2020-04-27 00:00:00;2020-04-28 00:00:00;2020-04-29 00:00:00;2020-04-30 00:00:00;2020-05-02 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;
Болт М24-6gх80.8.8.ТД4 ГОСТ Р ИСО 4014-2013;82.89495365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;47.93896395000034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх85.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;43.23377961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх90.8.8.ГЦ ГОСТ Р ИСО 4014-2013;393.7045561300002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх90.8.8.Гл ГОСТ Р 50793-95;0.26138826000000037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М30-6gх115.8.8.Гл ГОСТ Р ИСО 4014-2013;9.88242945000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М30-6gх90.8.8.ГЦ ГОСТ Р ИСО 4014-2013;65.29310703000024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М30-6gх90.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;12.2430484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;159.15962925;159.15962925
Болт М36-6gх110.8.8.Гл ГОСТ Р ИСО 4014-2013;9.216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М36-6gх120.8.8.ГЦ ГОСТ Р ИСО 4014-2013;1492.3600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.48;0.0;0.0;0.0;0.0
